method,trial_seed,latency_scale,disturbance_scale,success,tracking_rmse,tail_tracking_rmse,final_error,boundary_discontinuity,p95_boundary_discontinuity,handoff_staleness,context_age_ms,rms_jerk,idle_fraction,deadline_miss_steps,simulated_first_action_latency_ms,configured_first_action_latency_ms,emitted_chunks,decoder_launches,decoder_sequential_passes,decoder_slot_updates,causal_pair_interactions
isolated_n_step,89308763,1.5,1.0,1.0,0.5028016804945029,0.18882971073507174,0.24635502510118906,0.3576551238732469,0.9745679308977666,0.1745195650980092,200.0,14.282901455297697,0.03333333333333333,0,200.0,180.0,29,30,180,180,0
few_step_distilled,89308763,1.5,1.0,1.0,0.4689774582807722,0.18145472681318003,0.24436496649206937,0.3301404699160737,0.7414207132254176,0.06279115023309481,75.00000000000001,12.866654218691265,0.0125,0,75.00000000000001,60.0,30,30,60,60,0
streaming_no_causal,89308763,1.5,1.0,1.0,0.5179503583632559,0.1454525073199944,0.17083044139779263,0.36879006391723557,0.7704370410839139,0.047432015397908776,55.172413793103445,14.141616973587858,0.03333333333333333,0,200.0,180.0,29,30,35,195,0
streaming_causal,89308763,1.5,1.0,1.0,0.5222175473209513,0.1501273515514108,0.20974102512388515,0.04487335857674052,0.12304067823411674,0.0021980311464534453,55.172413793103445,12.717008267171575,0.03333333333333333,0,200.0,180.0,29,30,35,195,644
future_state_conditioned,89308763,1.5,1.0,1.0,0.5181792681132854,0.15191001647214625,0.20417338597172582,0.2000698569575769,0.7164259356581606,0.006298236869098359,200.0,13.365446999457113,0.03333333333333333,0,200.0,180.0,29,30,180,180,0
isolated_n_step,968723060,1.5,1.0,1.0,0.46699167945800896,0.1831062595227043,0.1325953298880076,0.4055071253079808,1.0701127171692422,0.1992942513913294,200.0,14.954396312303729,0.03333333333333333,0,200.0,180.0,29,30,180,180,0
few_step_distilled,968723060,1.5,1.0,1.0,0.43010035927830537,0.175608357441506,0.11598758244433037,0.34920646691867635,0.872713806165824,0.0678441547514393,75.00000000000001,13.211182728073787,0.0125,0,75.00000000000001,60.0,30,30,60,60,0
streaming_no_causal,968723060,1.5,1.0,0.0,0.47799102457096926,0.31120295415827315,0.2298781664967408,0.37205636686314375,0.6491201686860268,0.050458607890356486,55.172413793103445,13.976443856030688,0.03333333333333333,0,200.0,180.0,29,30,35,195,0
streaming_causal,968723060,1.5,1.0,1.0,0.4636694800882911,0.16939783780584694,0.08418253916149841,0.045912996168195046,0.12169551415384665,0.0015879637162011845,55.172413793103445,12.814805145735217,0.03333333333333333,0,200.0,180.0,29,30,35,195,644
future_state_conditioned,968723060,1.5,1.0,1.0,0.46371098107633496,0.16262569992896914,0.08185101383816017,0.2033149186289597,0.7209748842634879,0.005563818270852626,200.0,13.389095001835319,0.03333333333333333,0,200.0,180.0,29,30,180,180,0
