method,delay,trial,tracking_rmse,tail_tracking_rmse,final_error,success,handoff_action_jump,proprio_context_error,latent_context_rmse,handoff_policy_error,control_effort
oracle_fresh,0,19,0.980873099221426,0.6882941044158307,0.5942269769135323,1.0,1.0268295462521386,0.0,0.0,0.0,4.100909865191076
naive_stale,0,19,0.980873099221426,0.6882941044158307,0.5942269769135323,1.0,1.0268295462521386,0.0,0.0,0.0,4.100909865191076
state_rollout,0,19,0.980873099221426,0.6882941044158307,0.5942269769135323,1.0,1.0268295462521386,0.0,0.0,0.0,4.100909865191076
state_correction,0,19,0.980873099221426,0.6882941044158307,0.5942269769135323,1.0,1.0268295462521386,0.0,0.0,0.0,4.100909865191076
obs_transport,0,19,0.980873099221426,0.6882941044158307,0.5942269769135323,1.0,1.0268295462521386,0.0,0.0,0.0,4.100909865191076
obs_innovation,0,19,0.980873099221426,0.6882941044158307,0.5942269769135323,1.0,1.0268295462521386,0.0,0.0,0.0,4.100909865191076
policy_consistency,0,19,0.980873099221426,0.6882941044158307,0.5942269769135323,1.0,1.0268295462521386,0.0,0.0,0.0,4.100909865191076
oracle_fresh,0,20,1.1800354332278216,0.5970060708084199,0.5457871592716803,1.0,0.9688461622831409,0.0,0.0,0.0,4.919921813269631
naive_stale,0,20,1.1800354332278216,0.5970060708084199,0.5457871592716803,1.0,0.9688461622831409,0.0,0.0,0.0,4.919921813269631
state_rollout,0,20,1.1800354332278216,0.5970060708084199,0.5457871592716803,1.0,0.9688461622831409,0.0,0.0,0.0,4.919921813269631
state_correction,0,20,1.1800354332278216,0.5970060708084199,0.5457871592716803,1.0,0.9688461622831409,0.0,0.0,0.0,4.919921813269631
obs_transport,0,20,1.1800354332278216,0.5970060708084199,0.5457871592716803,1.0,0.9688461622831409,0.0,0.0,0.0,4.919921813269631
obs_innovation,0,20,1.1800354332278216,0.5970060708084199,0.5457871592716803,1.0,0.9688461622831409,0.0,0.0,0.0,4.919921813269631
policy_consistency,0,20,1.1800354332278216,0.5970060708084199,0.5457871592716803,1.0,0.9688461622831409,0.0,0.0,0.0,4.919921813269631
oracle_fresh,0,21,0.9706824007061637,0.6314238335878156,0.47850272414331774,1.0,0.7964941932435098,0.0,0.0,0.0,4.322626762178832
naive_stale,0,21,0.9706824007061637,0.6314238335878156,0.47850272414331774,1.0,0.7964941932435098,0.0,0.0,0.0,4.322626762178832
state_rollout,0,21,0.9706824007061637,0.6314238335878156,0.47850272414331774,1.0,0.7964941932435098,0.0,0.0,0.0,4.322626762178832
state_correction,0,21,0.9706824007061637,0.6314238335878156,0.47850272414331774,1.0,0.7964941932435098,0.0,0.0,0.0,4.322626762178832
obs_transport,0,21,0.9706824007061637,0.6314238335878156,0.47850272414331774,1.0,0.7964941932435098,0.0,0.0,0.0,4.322626762178832
obs_innovation,0,21,0.9706824007061637,0.6314238335878156,0.47850272414331774,1.0,0.7964941932435098,0.0,0.0,0.0,4.322626762178832
policy_consistency,0,21,0.9706824007061637,0.6314238335878156,0.47850272414331774,1.0,0.7964941932435098,0.0,0.0,0.0,4.322626762178832
oracle_fresh,0,22,1.1246418738313844,0.6386809937163959,0.539936932119548,1.0,0.8832874358738213,0.0,0.0,0.0,5.155344252762596
naive_stale,0,22,1.1246418738313844,0.6386809937163959,0.539936932119548,1.0,0.8832874358738213,0.0,0.0,0.0,5.155344252762596
state_rollout,0,22,1.1246418738313844,0.6386809937163959,0.539936932119548,1.0,0.8832874358738213,0.0,0.0,0.0,5.155344252762596
state_correction,0,22,1.1246418738313844,0.6386809937163959,0.539936932119548,1.0,0.8832874358738213,0.0,0.0,0.0,5.155344252762596
obs_transport,0,22,1.1246418738313844,0.6386809937163959,0.539936932119548,1.0,0.8832874358738213,0.0,0.0,0.0,5.155344252762596
obs_innovation,0,22,1.1246418738313844,0.6386809937163959,0.539936932119548,1.0,0.8832874358738213,0.0,0.0,0.0,5.155344252762596
policy_consistency,0,22,1.1246418738313844,0.6386809937163959,0.539936932119548,1.0,0.8832874358738213,0.0,0.0,0.0,5.155344252762596
oracle_fresh,0,23,1.0922378433666622,0.6513692935239029,0.5164190394407048,1.0,0.9317770213853772,0.0,0.0,0.0,4.374747598521449
naive_stale,0,23,1.0922378433666622,0.6513692935239029,0.5164190394407048,1.0,0.9317770213853772,0.0,0.0,0.0,4.374747598521449
state_rollout,0,23,1.0922378433666622,0.6513692935239029,0.5164190394407048,1.0,0.9317770213853772,0.0,0.0,0.0,4.374747598521449
state_correction,0,23,1.0922378433666622,0.6513692935239029,0.5164190394407048,1.0,0.9317770213853772,0.0,0.0,0.0,4.374747598521449
obs_transport,0,23,1.0922378433666622,0.6513692935239029,0.5164190394407048,1.0,0.9317770213853772,0.0,0.0,0.0,4.374747598521449
obs_innovation,0,23,1.0922378433666622,0.6513692935239029,0.5164190394407048,1.0,0.9317770213853772,0.0,0.0,0.0,4.374747598521449
policy_consistency,0,23,1.0922378433666622,0.6513692935239029,0.5164190394407048,1.0,0.9317770213853772,0.0,0.0,0.0,4.374747598521449
oracle_fresh,0,24,1.036827056824002,0.6233480196822967,0.4395143106700808,1.0,0.7970365396793795,0.0,0.0,0.0,4.618766248422822
naive_stale,0,24,1.036827056824002,0.6233480196822967,0.4395143106700808,1.0,0.7970365396793795,0.0,0.0,0.0,4.618766248422822
state_rollout,0,24,1.036827056824002,0.6233480196822967,0.4395143106700808,1.0,0.7970365396793795,0.0,0.0,0.0,4.618766248422822
state_correction,0,24,1.036827056824002,0.6233480196822967,0.4395143106700808,1.0,0.7970365396793795,0.0,0.0,0.0,4.618766248422822
obs_transport,0,24,1.036827056824002,0.6233480196822967,0.4395143106700808,1.0,0.7970365396793795,0.0,0.0,0.0,4.618766248422822
obs_innovation,0,24,1.036827056824002,0.6233480196822967,0.4395143106700808,1.0,0.7970365396793795,0.0,0.0,0.0,4.618766248422822
