trial,method,success,collision,timed_out,duration_s,min_clearance,ood_fraction,path_error_mean,path_error_max,jerk_proxy
trial_072,pacs_time_law,1,0,0,5.705,0.2001,0.0000,0.0003,0.0008,0.5333
trial_073,nominal,0,1,0,4.340,-0.1254,0.0000,0.0003,0.0007,0.0000
trial_073,reactive_cbf_like,1,0,0,6.475,0.0750,0.0000,0.0048,0.0181,0.9049
trial_073,pacs_time_law,1,0,0,5.740,0.2020,0.0000,0.0003,0.0007,0.5490
trial_074,nominal,0,1,0,4.340,-0.0866,0.0000,0.0003,0.0007,0.0000
trial_074,reactive_cbf_like,0,1,0,6.720,-0.0330,0.3472,0.0222,0.0730,4.8487
trial_074,pacs_time_law,0,0,1,6.930,0.1754,0.0000,0.0003,0.0007,0.6032
trial_075,nominal,0,1,0,4.340,-0.0996,0.0000,0.0003,0.0007,0.0000
trial_075,reactive_cbf_like,1,0,0,6.475,0.0307,0.2688,0.0159,0.0528,3.8691
trial_075,pacs_time_law,1,0,0,6.405,0.1994,0.0000,0.0003,0.0008,0.6300
trial_076,nominal,0,1,0,4.340,-0.1398,0.0000,0.0003,0.0007,0.0000
trial_076,reactive_cbf_like,1,0,0,6.230,0.1297,0.0000,0.0029,0.0094,0.9045
trial_076,pacs_time_law,1,0,0,5.320,0.2027,0.0000,0.0003,0.0008,0.6855
trial_077,nominal,0,1,0,4.340,-0.0844,0.0000,0.0003,0.0007,0.0000
trial_077,reactive_cbf_like,0,1,0,6.790,-0.0141,0.3795,0.0252,0.0813,5.5848
trial_077,pacs_time_law,0,0,1,6.930,0.1918,0.0000,0.0003,0.0007,0.6187
trial_078,nominal,0,1,0,4.340,-0.0787,0.0000,0.0003,0.0007,0.0000
trial_078,reactive_cbf_like,1,0,0,6.650,0.0721,0.1623,0.0136,0.0560,2.8832
trial_078,pacs_time_law,1,0,0,5.460,0.0843,0.0000,0.0003,0.0007,0.8259
trial_079,nominal,0,1,0,4.340,-0.0344,0.0000,0.0003,0.0007,0.0000
trial_079,reactive_cbf_like,1,0,0,6.160,0.1390,0.0000,0.0026,0.0076,0.8869
trial_079,pacs_time_law,1,0,0,5.215,0.2019,0.0000,0.0003,0.0008,0.7441
trial_080,nominal,0,1,0,4.340,-0.0254,0.0000,0.0003,0.0007,0.0000
trial_080,reactive_cbf_like,1,0,0,6.160,0.1136,0.0000,0.0016,0.0046,0.9465
trial_080,pacs_time_law,1,0,0,5.250,0.2007,0.0000,0.0003,0.0007,0.6416
trial_081,nominal,0,1,0,4.340,-0.1264,0.0000,0.0003,0.0007,0.0000
trial_081,reactive_cbf_like,1,0,0,6.230,0.1003,0.0000,0.0054,0.0221,0.9927
trial_081,pacs_time_law,1,0,0,5.495,0.2015,0.0000,0.0003,0.0007,0.6960
trial_082,nominal,0,1,0,4.340,-0.0951,0.0000,0.0003,0.0007,0.0000
trial_082,reactive_cbf_like,1,0,0,6.615,0.0191,0.2105,0.0153,0.0533,2.9421
