method,severity,trial,schedule_fingerprint,success,tracking_rmse,tail_rmse,final_error,policy_rmse,action_jerk,control_effort,latent_rmse,mean_inference_loss
history_h16_chunk4,2.0,9,0279e48a1348c4bb,1.0,0.4366532990269609,0.18180105035384964,0.17454773742921947,0.73569351459453,0.2007263360489204,1.2047481558909294,nan,nan
oracle,2.0,10,71eef8f576b8070e,1.0,0.2422448760976948,0.2651078671353127,0.1950051798603063,0.0,0.13022636565192833,0.8983524032295613,0.0,nan
open_loop,2.0,10,71eef8f576b8070e,0.0,4.119221845613774,7.681411357974077,10.728297766265877,2.139340820196555,0.025343101954581344,0.19381798982500756,4.615153337234897,0.0
pred_error_w8,2.0,10,71eef8f576b8070e,0.0,0.45616157692816145,0.5876097189104328,0.9697550213122774,0.807564414313014,0.17334356538030868,0.9333169047849584,0.3721875688774598,0.11726384858246859
history_h4,2.0,10,71eef8f576b8070e,1.0,0.36047776253277947,0.3772431626337505,0.5444295720551047,0.5149481752394661,0.14350700663842766,0.9697074335489108,nan,nan
history_h16,2.0,10,71eef8f576b8070e,1.0,0.31894520797626036,0.34642361920718295,0.4769405818291972,0.5122071313475015,0.1388930774105094,0.9479564385033615,nan,nan
history_h16_chunk4,2.0,10,71eef8f576b8070e,1.0,0.4045409575626608,0.3978968596495151,0.47385916490435775,0.5967207605527416,0.1697889316504011,1.0479718379498209,nan,nan
oracle,2.0,11,19f533a512112068,1.0,0.3088090676402989,0.24210834102138484,0.14919664004675504,0.0,0.13971239831231258,0.9854866746148977,0.0,nan
open_loop,2.0,11,19f533a512112068,0.0,7.571564610177859,9.091803223724483,7.701400243005655,2.46764888929832,0.05734048977533425,0.3770130844628382,5.063584035515943,0.0
pred_error_w8,2.0,11,19f533a512112068,1.0,0.3576712333062892,0.1809810972818867,0.02397783160571265,0.39836187744724677,0.1861369975265016,1.0314712144813194,0.11035824827696185,0.0043743975320172605
history_h4,2.0,11,19f533a512112068,1.0,0.39771697937088296,0.21292497281008754,0.06334319047289938,0.47515131206473976,0.1848751424527034,1.1994376595790779,nan,nan
history_h16,2.0,11,19f533a512112068,1.0,0.3634109297828484,0.21003358930468638,0.013001563546449546,0.500113813797611,0.18908240847871055,1.2153706781681664,nan,nan
history_h16_chunk4,2.0,11,19f533a512112068,1.0,0.46495016085495144,0.24453150913836577,0.040907535431712105,0.6084057832648614,0.2117237034930981,1.2570116755544356,nan,nan
oracle,2.0,12,ca3e363ff35ee3f2,1.0,0.41116260241771174,0.20103363936964852,0.11785592012757284,0.0,0.12256767888060847,1.159831728947763,0.0,nan
open_loop,2.0,12,ca3e363ff35ee3f2,0.0,17.610642566908783,28.310076455192284,32.33145079446817,3.0606554562703376,0.04050861525999234,0.21481862777882016,6.440623503190281,0.0
pred_error_w8,2.0,12,ca3e363ff35ee3f2,1.0,0.6697932140370977,0.39336424053796193,0.10149297024207016,0.5515238379830921,0.174445529638787,1.1731148846137989,0.2728848661659546,0.008893242803415923
history_h4,2.0,12,ca3e363ff35ee3f2,1.0,0.5505983930020731,0.35830890322927145,0.006762652076886866,0.5900400750863601,0.19321364459458024,1.3040797399004596,nan,nan
history_h16,2.0,12,ca3e363ff35ee3f2,1.0,0.5691930950627903,0.41141516104949233,0.07350389141776503,0.6710445334781803,0.1815071461794621,1.3085261206385506,nan,nan
history_h16_chunk4,2.0,12,ca3e363ff35ee3f2,0.0,0.6576782737021264,0.46248019513353,0.03084391650061491,0.6115225580214744,0.20521089609594273,1.3028113992734218,nan,nan
oracle,2.0,13,21688932e1b05f86,0.0,0.5526358695824292,0.8930201250298568,0.05705988372328896,0.0,0.14374256289088555,1.3555620471982894,0.0,nan
open_loop,2.0,13,21688932e1b05f86,0.0,15.254448950122345,24.453293607790698,29.386133650007306,3.1310824863616187,0.035136670168465174,0.19629178914710216,8.554450211036992,0.0
pred_error_w8,2.0,13,21688932e1b05f86,0.0,0.7435556267561212,1.27807687206503,0.062451211807461604,0.4451141026920107,0.17340628991168333,1.3369116621716297,0.13126911186274148,0.0007999778267156882
history_h4,2.0,13,21688932e1b05f86,0.0,0.622489807560685,1.0241404018718088,0.5277830660024847,0.6536698369439194,0.21220643764371397,1.6896147077851371,nan,nan
history_h16,2.0,13,21688932e1b05f86,0.0,0.5987102551992574,0.9742619477507497,0.4369158595865441,0.6893893244537349,0.2137397788368806,1.6928392783663138,nan,nan
history_h16_chunk4,2.0,13,21688932e1b05f86,0.0,0.8235672885208312,1.3759474091650765,0.31512827582896996,0.7782748187957805,0.24807144987932236,1.8033445718771401,nan,nan
oracle,2.0,14,a395238a39e47962,1.0,0.1735514247589254,0.16621034900277512,0.31849962145934185,0.0,0.12449348234954243,0.7340393846769631,0.0,nan
open_loop,2.0,14,a395238a39e47962,0.0,5.550218591639872,9.57940083724253,11.348653245862403,2.7470680171487816,0.03439987186756178,0.2597175236663465,2.9039694656021684,0.0
pred_error_w8,2.0,14,a395238a39e47962,1.0,0.2395589459225941,0.24190165712583234,0.4804198546327907,0.31587166548684276,0.17929620164571863,0.8069746931211178,0.1619916690157626,0.013058996793405577
history_h4,2.0,14,a395238a39e47962,1.0,0.2612143767755815,0.24065819575891262,0.3146847148155736,0.3467105699688462,0.13717666294815078,0.7863112507233743,nan,nan
history_h16,2.0,14,a395238a39e47962,1.0,0.2594473332141344,0.2490502144493622,0.23113985329825404,0.37857315817681914,0.13753923695616943,0.8178644949995793,nan,nan
