seed,method,buffer_size,train_stage,eval_task,success,tracking_rmse,branch_error,final_error,on_policy_action_mse,runtime_seconds
17,diversity,96,3,3,0.8125,0.167999935848933,0.23300757550385862,0.03805394267474253,0.7356021068876785,2.799779324006522
17,diversity,288,0,0,1.0,0.04549153920035112,0.0354923216953061,0.0172161963676662,0.022142418780886852,2.726879464025842
17,diversity,288,1,0,0.21875,0.999057295772974,0.9113788664503784,1.4614621446864797,5.362515770127897,2.726879464025842
17,diversity,288,1,1,0.75,0.17899402407793674,0.21933734979857533,0.03576493060942844,0.4842044798135988,2.726879464025842
17,diversity,288,2,0,0.09375,0.9706979072136275,1.2500585276366702,0.6141207844149935,4.625987127119977,2.726879464025842
17,diversity,288,2,1,0.28125,1.2077748725111794,1.4690706408641565,1.3131352802860201,5.9610726967606205,2.726879464025842
17,diversity,288,2,2,0.0625,1.1664669565746224,1.0522968811048936,1.7488824986586855,6.4729353872184525,2.726879464025842
17,diversity,288,3,0,0.15625,0.7459274585685898,1.031869673929958,0.2934979072623569,3.38858962985737,2.726879464025842
17,diversity,288,3,1,0.34375,0.7737814991862222,1.1012270125369696,0.32270047423108794,3.3637921751913367,2.726879464025842
17,diversity,288,3,2,0.1875,0.5513814485677231,0.8095686961998795,0.13460873771027976,2.6245080821314155,2.726879464025842
17,diversity,288,3,3,0.9375,0.06479187421500879,0.07430740563444677,0.0006169947964800198,0.11565573795210118,2.726879464025842
17,anchors,12,0,0,1.0,0.04906377276819167,0.039000757624230206,0.0222901124826188,0.025788640271973473,2.7861251999856904
17,anchors,12,1,0,0.34375,0.5818623845313091,0.5724410542417641,0.7181602819126888,3.018264043597703,2.7861251999856904
17,anchors,12,1,1,0.8125,0.13916174143988613,0.14896581624562366,0.04041507933404162,0.3093386836609441,2.7861251999856904
17,anchors,12,2,0,0.375,0.3547142026494588,0.3562357297786834,0.37034065958083695,1.4046967864025814,2.7861251999856904
17,anchors,12,2,1,0.0,0.7676791120522534,1.2989297037816034,0.029521593406690645,3.645131927998039,2.7861251999856904
17,anchors,12,2,2,1.0,0.02856404768407302,0.023731712505667753,0.01409229002662068,0.0024665288971751857,2.7861251999856904
17,anchors,12,3,0,0.0,1.0767927141106748,1.376895443947173,0.7623386152797633,5.2375614767928615,2.7861251999856904
17,anchors,12,3,1,0.75,0.2689711877227584,0.31023410659458595,0.25446604321710253,1.1173090470908493,2.7861251999856904
17,anchors,12,3,2,0.0,0.8135903307020754,1.326859580993788,0.0501060726895423,3.9717121607083596,2.7861251999856904
17,anchors,12,3,3,1.0,0.03964703912570097,0.01272900913000971,0.003328870585974691,0.010073317236233531,2.7861251999856904
17,anchors,32,0,0,1.0,0.044501912149936734,0.033950922300059264,0.02039889975032054,0.01866168890318604,2.8918439609988127
17,anchors,32,1,0,0.09375,0.7092509622126291,0.9548091345502554,0.39398435865897447,3.345742405421344,2.8918439609988127
17,anchors,32,1,1,0.5625,0.236756689507154,0.328762338911461,0.027965084766479957,0.753339529816389,2.8918439609988127
17,anchors,32,2,0,0.15625,0.9411361392327647,1.2653874955719253,0.45156390563032217,4.218874845300346,2.8918439609988127
17,anchors,32,2,1,0.125,1.166635723357807,1.5684027653538077,0.8215841547811635,5.227094259986453,2.8918439609988127
17,anchors,32,2,2,0.09375,0.8403392385394087,0.8720646412889674,1.0154302261214672,4.4691772334842454,2.8918439609988127
17,anchors,32,3,0,0.09375,0.831627009315187,1.297951531201983,0.09420335081976589,3.6161869238336672,2.8918439609988127
17,anchors,32,3,1,0.78125,0.24275998137388757,0.34088714112263824,0.0400599844758273,0.8656814441269182,2.8918439609988127
17,anchors,32,3,2,0.0,0.7981802334903726,1.3189993949880785,0.014415422308394439,3.9382888638675793,2.8918439609988127
17,anchors,32,3,3,1.0,0.03138098859810293,0.019560784403981846,0.010402836259309685,0.0027968154543289436,2.8918439609988127
17,anchors,96,0,0,1.0,0.055314545483175215,0.044115322912959026,0.034415649975885025,0.03563745901523249,2.726651964010671
17,anchors,96,1,0,0.15625,0.612218564574766,0.7491570811322373,0.456891277007791,2.859059623969699,2.726651964010671
17,anchors,96,1,1,0.59375,0.19005053595236077,0.24740978461353583,0.02597330854165404,0.5334463748590268,2.726651964010671
17,anchors,96,2,0,0.0625,0.9267470262719824,1.321691869642914,0.29112442486250395,4.090609719408022,2.726651964010671
17,anchors,96,2,1,0.28125,1.0443320287988063,1.425835354621595,0.6015763638209212,4.582917767634032,2.726651964010671
17,anchors,96,2,2,0.09375,0.7429263306649534,0.7830926885114107,0.7808569232581849,3.7798543549511,2.726651964010671
