seed,shots,target_demo_transitions,method,label,prediction_rmse,position_rmse,mean_state_l2,p90_position_l2,candidate_top1,candidate_regret,candidate_regret_p90,planning_success
25,2,24,raw_joint,Raw / padded joints,0.0398929309678986,0.010040426977283459,0.0663937670073561,0.022369675121841646,0.621875,0.003062617899170682,0.010644420950401275,0.715625
25,2,24,canonical_ee,Canonical EE,0.01232301446281648,0.003092295567137574,0.017178855649469513,0.007090073138078103,0.925,0.00018093526406453506,0.0,0.96875
25,2,24,learned_latent,Learned latent,0.03985372407329345,0.010826272471006442,0.06633501154917759,0.023913500929968395,0.609375,0.003349895824552219,0.011946056085283525,0.70625
25,2,24,latent_to_ee_curriculum,Latent→EE curriculum,0.012291444193614854,0.0032540417719721048,0.01713287580464451,0.00740119739507999,0.903125,0.00028257517134859023,0.0,0.95625
25,4,48,raw_joint,Raw / padded joints,0.027898665975875116,0.0072545460667836625,0.044963155478072045,0.016622719749686158,0.73125,0.0015650410202207384,0.00668080938673906,0.821875
25,4,48,canonical_ee,Canonical EE,0.00975015953551815,0.002448117258736792,0.01336873304804614,0.00545395131131037,0.9375,0.00014788035194451284,0.0,0.978125
25,4,48,learned_latent,Learned latent,0.02788111412190536,0.007678928455386145,0.044931872375273116,0.017639901122093047,0.709375,0.0017566227533391565,0.006814335649158039,0.80625
25,4,48,latent_to_ee_curriculum,Latent→EE curriculum,0.00974734723675389,0.0026061192977749953,0.013374947807436841,0.005588618145102724,0.915625,0.00018237381561361237,0.0,0.971875
25,8,96,raw_joint,Raw / padded joints,0.022196902503475755,0.005820263146332824,0.03681634423643655,0.012587534850665607,0.80625,0.0007827046671462074,0.0034760821067277544,0.89375
25,8,96,canonical_ee,Canonical EE,0.009242241447656578,0.002316489944712985,0.012274099959335911,0.004511166949551751,0.9375,0.00010210489963308653,0.0,0.9875
25,8,96,learned_latent,Learned latent,0.022183230565183194,0.0058813828815627005,0.0367861545108005,0.012955056953708273,0.80625,0.0007405762781053004,0.002773740564444046,0.903125
25,8,96,latent_to_ee_curriculum,Latent→EE curriculum,0.009244992104396858,0.0024942170411764316,0.012306366885278055,0.004971189525852448,0.9375,0.000116235800292113,0.0,0.984375
25,16,192,raw_joint,Raw / padded joints,0.020553040484340326,0.0053344732196793174,0.033427268592954994,0.011535715634831013,0.834375,0.000612707730877504,0.0023046980121134717,0.921875
25,16,192,canonical_ee,Canonical EE,0.0064206954233161475,0.0016084660960776094,0.009380258352584343,0.0034147145013270234,0.959375,5.6948527657879925e-05,0.0,0.99375
25,16,192,learned_latent,Learned latent,0.020541436705563104,0.005482932026052779,0.03340303528375789,0.012041547439443417,0.815625,0.0006834082685581381,0.0024484378564907797,0.909375
25,16,192,latent_to_ee_curriculum,Latent→EE curriculum,0.006424360747637341,0.0017195856294771588,0.00940352701072686,0.003810501608213004,0.953125,8.207685288463967e-05,0.0,0.9875
25,32,384,raw_joint,Raw / padded joints,0.019352380285937706,0.00503132557669653,0.03195962715291746,0.009996413444410513,0.834375,0.0006920310385798007,0.0023429313604643744,0.915625
25,32,384,canonical_ee,Canonical EE,0.006431875552974651,0.0016114665169544332,0.009257572359733781,0.0031775594788407673,0.940625,0.00011150796211747238,0.0,0.984375
25,32,384,learned_latent,Learned latent,0.01934332937957044,0.005251549699964165,0.03193890478240569,0.010457234887707592,0.8375,0.0007108017818960042,0.0023046980121134717,0.915625
25,32,384,latent_to_ee_curriculum,Latent→EE curriculum,0.00643783610209589,0.001763150851659901,0.009288237409637119,0.0033834034619180846,0.953125,7.675945651612764e-05,0.0,0.990625
26,0,0,raw_joint,Raw / padded joints,0.10999536644569574,0.0294182496652778,0.20012049285452754,0.06011986902091813,0.08125,0.03416646209597393,0.0674875804503181,0.1
26,0,0,canonical_ee,Canonical EE,0.012303698301992187,0.0029418641971475927,0.017810188434219467,0.006299652207814117,0.93125,0.00012625352667633544,0.0,0.984375
26,0,0,learned_latent,Learned latent,0.11178840358984424,0.030124639349799226,0.20313000158378852,0.06199928587012316,0.071875,0.03402893558875907,0.06714437239391634,0.096875
26,0,0,latent_to_ee_curriculum,Latent→EE curriculum,0.011015930133987955,0.0031345924749147246,0.016629596989797348,0.007004836395022292,0.909375,0.00020830273487350038,0.0,0.96875
26,1,12,raw_joint,Raw / padded joints,0.12902973349456515,0.03179868525783875,0.21866731607450446,0.07290069078241124,0.3625,0.012802784071992295,0.03580736256883971,0.409375
